Datetime,Open,High,Low,Close,Volume
2022-11-10 10:00:00,235.4,240.17,235.0,239.698,5564345
2022-11-10 11:00:00,239.67,240.29,237.32,238.58,4229627
2022-11-10 12:00:00,238.63,239.99,237.54,239.71,2905174
2022-11-10 13:00:00,239.69,240.75,238.9168,239.1077,2579577
2022-11-10 14:00:00,239.1299,240.13,238.66,239.655,1927813
2022-11-10 15:00:00,239.67,239.88,238.74,239.52,1708453
2022-11-10 16:00:00,239.51,243.33,239.17,242.93,7166011
2022-11-11 10:00:00,242.99,244.98,241.93,243.98,2960242
2022-11-11 11:00:00,243.94,246.62,243.35,245.9899,3172997
2022-11-11 12:00:00,245.97,246.09,242.42,244.41,3032179
2022-11-11 13:00:00,244.3931,247.08,243.9,246.645,2223625
2022-11-11 14:00:00,246.6401,247.99,246.5183,247.55,1835777
2022-11-11 15:00:00,247.54,247.67,246.52,247.03,2123048
2022-11-11 16:00:00,247.03,247.89,245.95,247.32,4442417
2022-11-14 10:00:00,241.99,242.2,239.21,242.14,4126267
2022-11-14 11:00:00,242.1303,243.22,241.15,241.39,3305691
2022-11-14 12:00:00,241.4032,243.15,240.8267,242.4,2167349
2022-11-14 13:00:00,242.41,243.19,241.73,242.6709,1643548
2022-11-14 14:00:00,242.685,243.64,242.6,243.57,1593300
2022-11-14 15:00:00,243.58,243.91,242.6483,243.45,2102564
2022-11-14 16:00:00,243.49,243.8,241.37,241.6,4310547
2022-11-15 10:00:00,245.59,247.0,244.02,245.7166,3412942
2022-11-15 11:00:00,245.71,246.1,243.6,244.48,3019820
2022-11-15 12:00:00,244.46,245.6,243.67,245.03,1846563
2022-11-15 13:00:00,245.03,245.05,244.13,244.72,1389245
2022-11-15 14:00:00,244.71,245.005,240.3,241.6621,2615521
2022-11-15 15:00:00,241.64,242.9999,240.03,242.8633,2322363
2022-11-15 16:00:00,242.895,243.34,241.05,242.03,3524266
2022-11-16 10:00:00,242.71,243.65,241.71,242.69,2380398
2022-11-16 11:00:00,242.68,242.91,240.42,240.92,2333219
2022-11-16 12:00:00,240.91,242.59,240.67,242.18,1646103
2022-11-16 13:00:00,242.1701,243.8,241.8665,242.74,1394627
2022-11-16 14:00:00,242.71,243.5,241.78,241.94,1326191
2022-11-16 15:00:00,241.92,242.9,241.76,242.7477,1226121
2022-11-16 16:00:00,242.72,243.03,241.62,241.65,3245386
2022-11-17 10:00:00,237.85,240.58,237.63,239.43,2219487
2022-11-17 11:00:00,239.41,241.53,239.31,240.45,1770622
2022-11-17 12:00:00,240.435,242.8227,239.92,242.79,1922731
2022-11-17 13:00:00,242.82,243.15,241.52,242.76,2063970
2022-11-17 14:00:00,242.755,243.25,242.15,242.565,1204831
2022-11-17 15:00:00,242.55,242.81,241.27,241.9,1501038
2022-11-17 16:00:00,241.9,242.2,240.23,241.7,2710588
2022-11-18 10:00:00,243.37,243.74,240.07,241.08,3362974
2022-11-18 11:00:00,241.06,241.23,239.03,239.68,1884595
