ticker,date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j
SPY,2023-03-15 10:59:00,2023-03-14 11:00:00,2023-03-15 10:59:00,390,-0.19670310139034852,82332.75525891186,0.034895838242168194,75.7275014984441,-0.03083170759828363,0.028310162731627033,252.0,-0.014193023585146847,0.0,-0.01409277745155546
SPY,2023-03-15 11:59:00,2023-03-14 12:00:00,2023-03-15 11:59:00,390,-0.8358161194680502,86022.66119877875,0.04050617263905527,83.39644299736867,-0.04383832431360965,0.052033882535833714,252.0,-0.014193023585146847,0.0,-0.01409277745155546
SPY,2023-03-15 12:59:00,2023-03-14 13:00:00,2023-03-15 12:59:00,390,-1.1638491657484256,86946.35519952829,0.04136864779737812,84.73090387901144,-0.027119772841941846,0.022878291688608898,252.0,-0.014193023585146847,0.0,-0.01409277745155546
SPY,2023-03-15 13:59:00,2023-03-14 14:00:00,2023-03-15 13:59:00,390,1.8405556336275664,89600.23620086984,0.04089913762560935,85.5248140770331,0.03342111939891261,0.022121607192080953,252.0,-0.014193023585146847,0.0,-0.01409277745155546
SPY,2023-03-15 14:59:00,2023-03-14 15:00:00,2023-03-15 14:59:00,390,3.4493630958908366,93459.7051370759,0.046325335985879304,92.96125501180866,0.08652151578049294,0.044597846780952535,252.0,-0.014193023585146847,0.0,-0.01409277745155546
SPY,2023-03-15 15:59:00,2023-03-15 09:30:00,2023-03-15 15:59:00,390,2.071963467948623,95252.58274722779,0.049079450111026456,96.59812802603982,0.061878381928217055,0.08116831182627147,252.0,-0.014193023585146847,0.0,-0.01409277745155546
AAPL,2023-03-09 09:59:00,2023-03-08 10:00:00,2023-03-09 09:59:00,390,1.0329245022575968,80445.70179807283,0.026272590107406533,64.95062784703296,0.06904816947707336,0.06880282998786677,1764.0,0.0009560929304422824,0.002312132732941143,0.0009592256722874559
AAPL,2023-03-09 10:59:00,2023-03-08 11:00:00,2023-03-09 10:59:00,390,2.056175951324984,82767.41953630395,0.025013841669310963,64.28362988715482,0.05755525974869266,0.028790446717041913,504.0,0.00011254077380495886,0.0034676900565991805,0.00011856023867884424
AAPL,2023-03-09 11:59:00,2023-03-08 12:00:00,2023-03-09 11:59:00,390,0.7538533287112654,82073.18794146352,0.023744219360739036,62.367751271387284,0.005523930004095787,0.017759351914749446,756.0,0.0006585313760174571,0.0026280704666031144,0.0006622039134704938
AAPL,2023-03-09 12:59:00,2023-03-08 13:00:00,2023-03-09 12:59:00,390,1.3144948404082872,81363.32546814445,0.025121681092271676,63.873274410678384,-0.01772818830640235,0.022390528401346716,1008.0,-0.00011567375652710155,0.002646143848569277,-0.00011216642676936672
AAPL,2023-03-09 13:59:00,2023-03-08 14:00:00,2023-03-09 13:59:00,390,-0.449090731267221,87066.04003854228,0.02633837364962517,67.65491603892197,-0.02768629350931989,0.03738281449686986,1008.0,-0.00011567375652710155,0.002646143848569277,-0.00011216642676936672
AAPL,2023-03-09 14:59:00,2023-03-08 15:00:00,2023-03-09 14:59:00,390,-1.4399783249348639,93348.55332566566,0.03118138190058512,76.22228451141277,-0.006525690003643267,0.044879872869850866,756.0,-0.0007377358688502866,0.0028603056255326357,-0.0007333761428789387
AAPL,2023-03-09 15:59:00,2023-03-09 09:30:00,2023-03-09 15:59:00,390,-4.117180230913624,87334.8491974168,0.03825694992257943,81.66377365150436,-0.049549393393928394,0.06937014302319663,1008.0,0.0001867484353981208,0.002978744214627322,0.0001912031709427886
AAPL,2023-03-10 09:59:00,2023-03-09 10:00:00,2023-03-10 09:59:00,390,-6.548531681843069,88968.95390429776,0.03914385657102964,83.37417199049764,-0.09769737839122297,0.07493192324210961,1512.0,-0.0006908482973326061,0.0025232638507599807,-0.0006874284798057406
AAPL,2023-03-10 10:59:00,2023-03-09 11:00:00,2023-03-10 10:59:00,390,-6.575016788637954,77965.0378904992,0.04854050879316706,86.91257062740027,-0.0871998535118003,0.05683023229858288,1260.0,0.000645157215016745,0.0027756392819765752,0.0006492199538346011
AAPL,2023-03-10 11:59:00,2023-03-09 12:00:00,2023-03-10 11:59:00,390,-7.920792370366245,79196.76766733306,0.058953588421697574,96.53600827703234,-0.07230988938673139,0.060977510116502466,756.0,0.001074328254378661,0.0030447738380881334,0.001079545868847509
AAPL,2023-03-10 12:59:00,2023-03-09 13:00:00,2023-03-10 12:59:00,390,-8.764888210344228,81432.44357520995,0.06231799254878749,100.64354995559331,-0.06229794344692914,0.03380608194542433,504.0,0.0028306369586483804,0.00018323171682436647,0.0028346638287193304
AAPL,2023-03-10 13:59:00,2023-03-09 14:00:00,2023-03-10 13:59:00,390,-7.765800848235627,79655.19338557258,0.06133433375304737,98.75051296514776,-0.03522936806654482,0.018914974931975262,504.0,0.0028306369586483804,0.00018323171682436647,0.0028346638287193304
AAPL,2023-03-10 14:59:00,2023-03-09 15:00:00,2023-03-10 14:59:00,390,-5.913991044970323,83766.55151625317,0.06880920527309614,107.26031682345977,0.09521887357856533,0.11062389311800433,504.0,0.0028306369586483804,0.00018323171682436647,0.0028346638287193304
AAPL,2023-03-10 15:59:00,2023-03-10 09:30:00,2023-03-10 15:59:00,390,-4.180325515041309,88888.30849694012,0.06784434982400495,109.71339379042207,0.16952529708159403,0.06606245049019183,252.0,0.0027010725691534176,0.0,0.002704723752295468
