Date,SPY,AAPL,MSFT,AMZN
2005-03-22,117.09,1.294995,16.793112,1.6575
2005-03-23,117.17,1.286529,16.926105,1.659
2005-03-24,117.06,1.285017,16.996103,1.644
2005-03-28,117.35,1.285925,16.940104,1.6695
2005-03-29,116.48,1.26234,16.744108,1.6715
2005-03-30,118.1,1.294088,16.912111,1.716
2005-03-31,118.02,1.259921,16.919111,1.7135
2005-04-01,117.25,1.236337,16.884113,1.7005
2005-04-04,117.58,1.242385,16.9611,1.75
2005-04-05,118.11,1.266573,17.12911,1.764
2005-04-06,118.4,1.279877,17.26911,1.741
2005-04-07,119.12,1.317066,17.570105,1.745
2005-04-08,118.12,1.322509,17.458115,1.73
2005-04-11,118.12,1.26748,17.479103,1.73
2005-04-12,118.79,1.289854,17.724106,1.7315
2005-04-13,117.4,1.240873,17.528112,1.715
2005-04-14,116.23,1.126582,17.388105,1.6985
2005-04-15,114.29,1.068832,17.122097,1.651
2005-04-18,114.62,1.076996,17.255114,1.65
2005-04-19,115.3,1.121443,17.24111,1.639
2005-04-20,113.78,1.073669,17.024109,1.6625
2005-04-21,116.03,1.124163,17.69611,1.6865
2005-04-22,115.25,1.073367,17.486113,1.652
2005-04-25,116.24,1.118116,17.493107,1.6765
2005-04-26,115.21,1.09423,17.332111,1.6355
2005-04-27,115.69,1.086974,17.493107,1.586
2005-04-28,114.41,1.074577,17.115112,1.626
2005-04-29,115.77,1.090299,17.710112,1.618
2005-05-02,116.3,1.101486,17.661112,1.655
2005-05-03,116.2,1.094835,17.752106,1.6605
2005-05-04,117.67,1.123256,17.647112,1.698
2005-05-05,117.37,1.109045,17.661112,1.698
2005-05-06,117.25,1.125977,17.654112,1.726
2005-05-09,118.0,1.117814,17.57711,1.732
2005-05-10,116.74,1.101184,17.430111,1.7115
2005-05-11,117.29,1.076694,17.437113,1.691
2005-05-12,116.13,1.031945,17.500116,1.6925
2005-05-13,115.61,1.051296,17.710112,1.695
2005-05-16,116.79,1.074879,17.899714,1.727
2005-05-17,117.61,1.069134,17.878643,1.7365
2005-05-18,118.81,1.083647,18.047178,1.7665
2005-05-19,119.36,1.13535,18.201672,1.7795
2005-05-20,119.18,1.13535,18.07527,1.775
2005-05-23,119.64,1.202171,18.152512,1.784
2005-05-24,119.66,1.200357,18.082291,1.777
2005-05-25,119.26,1.202776,18.054201,1.7625
2005-05-26,120.03,1.231802,18.18763,1.7725
2005-05-27,120.16,1.226359,18.307005,1.775
2005-05-31,119.43,1.202171,18.117395,1.7755
2005-06-01,120.55,1.218499,18.124424,1.825
2005-06-02,120.75,1.210637,18.110374,1.8205
2005-06-03,119.92,1.156213,17.857574,1.7795
2005-06-06,120.08,1.146538,17.815443,1.7885
2005-06-07,120.06,1.104813,17.913761,1.7675
2005-06-08,119.82,1.116301,17.836512,1.7415
2005-06-09,120.45,1.138374,17.913761,1.76
2005-06-10,120.17,1.082741,17.857574,1.7475
2005-06-13,120.47,1.085462,17.773304,1.7435
2005-06-14,120.78,1.088485,17.808416,1.752
2005-06-15,121.05,1.122651,17.738195,1.762
2005-06-16,121.49,1.148352,17.583714,1.779
2005-06-17,121.6,1.158329,17.583714,1.7655
2005-06-20,121.51,1.137164,17.63287,1.7845
2005-06-21,121.27,1.144724,17.660954,1.769
2005-06-22,121.3,1.165586,17.604786,1.761
2005-06-23,120.01,1.175867,17.773304,1.7715
2005-06-24,119.09,1.141699,17.583714,1.751
2005-06-27,119.0,1.121745,17.590731,1.725
2005-06-28,120.11,1.128094,17.604786,1.6855
2005-06-29,119.96,1.099672,17.618826,1.6675
2005-06-30,119.11,1.112976,17.44326,1.6545
2005-07-01,119.43,1.103603,17.351967,1.6455
2005-07-05,120.49,1.148352,17.541578,1.704
2005-07-06,119.51,1.130512,17.344954,1.703
2005-07-07,119.81,1.13777,17.309847,1.698
2005-07-08,121.21,1.156515,17.618826,1.737
2005-07-11,121.97,1.151979,17.759262,1.7795
2005-07-12,122.25,1.156213,17.98398,1.8155
2005-07-13,122.37,1.159539,18.019089,1.8255
2005-07-14,122.69,1.232104,18.23678,1.8595
2005-07-15,122.83,1.256293,18.110374,1.8575
2005-07-18,122.15,1.254479,17.941839,1.8595
2005-07-19,122.97,1.30588,18.370201,1.9085
2005-07-20,123.57,1.319183,18.391268,1.9085
2005-07-21,122.75,1.308903,18.566828,1.8975
2005-07-22,123.42,1.330371,18.033138,1.8975
2005-07-25,122.96,1.324626,18.040155,1.8975
2005-07-26,123.17,1.319183,17.934818,1.887
2005-07-27,123.74,1.330068,18.061222,2.1825
2005-07-28,124.47,1.324324,18.082291,2.284
2005-07-29,123.52,1.289552,17.98398,2.2575
2005-08-01,123.64,1.292576,18.201672,2.2465
2005-08-02,124.51,1.30588,18.826653,2.3255
2005-08-03,124.63,1.306786,19.135628,2.3055
2005-08-04,123.72,1.291366,19.184786,2.273
2005-08-05,122.78,1.299833,19.493763,2.2635
2005-08-08,122.45,1.289552,19.051365,2.283
2005-08-09,123.28,1.324928,19.205853,2.2965
2005-08-10,123.11,1.311625,18.924961,2.238
2005-08-11,123.99,1.330371,19.149673,2.2605
2005-08-12,123.25,1.393866,18.995176,2.21
2005-08-15,123.62,1.441638,19.107872,2.252
2005-08-16,122.17,1.398401,18.833193,2.2135
2005-08-17,122.29,1.425614,18.9811,2.206
2005-08-18,122.18,1.399912,18.889528,2.1865
2005-08-19,122.25,1.385702,18.819101,2.186
2005-08-22,122.46,1.386911,18.952925,2.1885
2005-08-23,122.04,1.382981,18.924749,2.171
2005-08-24,121.25,1.383888,18.882492,2.1185
2005-08-25,121.53,1.392656,19.037449,2.1155
2005-08-26,120.8,1.382981,18.99518,2.1185
2005-08-29,121.54,1.386005,19.121956,2.1395
2005-08-30,121.17,1.408076,19.143087,2.1245
2005-08-31,122.39,1.417752,19.283945,2.135
2005-09-01,122.52,1.398704,19.157171,2.092
2005-09-02,122.17,1.397493,19.030394,2.0755
2005-09-06,123.71,1.475502,19.016314,2.181
2005-09-07,124.02,1.471873,18.910664,2.1865
2005-09-08,123.56,1.505133,18.741623,2.148
2005-09-09,124.54,1.551394,18.720505,2.1475
2005-09-12,124.45,1.554115,18.741623,2.225
2005-09-13,123.55,1.536578,18.650072,2.1965
2005-09-14,123.15,1.499993,18.53034,2.155
2005-09-15,123.21,1.507854,18.502169,2.1355
2005-09-16,123.7,1.54837,18.361313,2.14
2005-09-19,123.02,1.591607,18.312002,2.1375
2005-09-20,122.05,1.608237,18.19931,2.0935
2005-09-21,120.94,1.575582,17.952805,2.0625
2005-09-22,121.41,1.569232,17.847162,2.104
2005-09-23,121.47,1.608539,17.797857,2.1095
2005-09-26,121.51,1.62789,17.797857,2.167
2005-09-27,121.51,1.615795,17.847162,2.158
2005-09-28,121.66,1.544439,18.07958,2.1685
2005-09-29,122.74,1.582537,18.269747,2.2395
2005-09-30,122.85,1.620936,18.121838,2.265
2005-10-03,122.64,1.646031,17.959843,2.3005
2005-10-04,121.43,1.625169,17.593609,2.2465
2005-10-05,119.67,1.59584,17.375277,2.2245
2005-10-06,119.18,1.563186,17.417532,2.2005
2005-10-07,119.62,1.551091,17.318924,2.186
2005-10-10,118.77,1.522972,17.227371,2.188
2005-10-11,118.53,1.55986,17.192148,2.17
2005-10-12,117.82,1.489108,17.114668,2.1275
2005-10-13,117.74,1.624866,17.318924,2.131
2005-10-14,118.71,1.632727,17.375277,2.1895
2005-10-17,119.06,1.615795,17.276669,2.251
2005-10-18,117.87,1.578605,17.304842,2.2325
2005-10-19,119.64,1.66115,17.67108,2.293
2005-10-20,117.85,1.697432,17.459793,2.2505
2005-10-21,118.03,1.682919,17.452749,2.2975
2005-10-24,120.01,1.717085,17.67812,2.3465
2005-10-25,119.72,1.696222,17.628828,2.3085
2005-10-26,119.21,1.724342,17.685167,1.9875
2005-10-27,117.98,1.675361,17.502045,1.953
2005-10-28,119.94,1.646938,17.980982,1.9475
2005-10-31,120.8,1.741274,18.100712,1.993
2005-11-01,120.37,1.738552,18.283834,2.0185
2005-11-02,121.58,1.81263,18.635979,2.0375
2005-11-03,122.14,1.870077,18.621902,2.078
